# type  value  stat. err
v4_L  5.5648192970e-03  1.1064528559e-03
v4(Psi2)  6.2564835310e-03  7.3100536160e-04
rho_422  7.4720168816e-01  9.7734266015e-02
chi_422  1.1955724906e+00  8.8906785191e-02
v5_L  3.1915050759e-03  6.7237637260e-04
v5(Psi23)  3.2845867920e-03  4.3110448578e-04
rho_523  7.1719604169e-01  1.0909044272e-01
chi_523  3.0332726155e+00  3.3230914306e-01
v6_L  9.1102191394e-06  1.5714535417e-06
v6(Psi2)  1.1770364245e-03  2.9240877420e-04
v6(Psi3)  4.4933787687e-04  2.7160563965e-04
rho_6222  4.8702050860e-01  1.2834675301e-01
rho_633  1.8592182601e-01  1.1356504294e-01
chi_6222  2.6315367153e+00  5.6893131262e-01
chi_633  9.0534350586e-01  5.3950467908e-01
