# type  value  stat. err
v4_L  6.7885407902e-03  1.3879402185e-03
v4(Psi2)  7.6803651000e-03  9.0469737278e-04
rho_422  7.4926898886e-01  9.9241569238e-02
chi_422  1.0538556432e+00  7.9561280129e-02
v5_L  3.8920348485e-03  8.1075523991e-04
v5(Psi23)  3.9695089028e-03  5.3363415731e-04
rho_523  7.1404051522e-01  1.1015547486e-01
chi_523  2.5799851476e+00  2.9224742332e-01
v6_L  1.3560450369e-05  2.3780559389e-06
v6(Psi2)  1.3958298402e-03  3.4797641197e-04
v6(Psi3)  6.6942251115e-04  3.4257138695e-04
rho_6222  4.5506795589e-01  1.1905354410e-01
rho_633  2.1824489276e-01  1.1301923894e-01
chi_6222  1.9092631611e+00  4.1419967156e-01
chi_633  9.1491443957e-01  4.5820655191e-01
