# type  value  stat. err
v4_L  3.6450615489e-02  9.5653474174e-03
v4(Psi2)  3.8003181460e-02  7.4547314479e-03
rho_422  7.2169500513e-01  1.5112753660e-01
chi_422  8.0947214897e-01  1.2687809890e-01
v5_L  1.7410314715e-02  4.5611540951e-03
v5(Psi23)  2.2900965142e-02  2.5133118447e-03
rho_523  7.9606872122e-01  1.0199298169e-01
chi_523  1.6118476620e+00  1.0597668230e-01
v6_L  2.0771197609e-04  5.3859221566e-05
v6(Psi2)  7.2033253127e-03  5.0776855178e-03
v6(Psi3)  6.7000326360e-03  1.5492219265e-03
rho_6222  3.9905233263e-01  2.8308967734e-01
rho_633  3.7117074907e-01  9.0785004189e-02
chi_6222  4.8429982661e-01  3.2815769331e-01
chi_633  6.2211798050e-01  8.2139050277e-02
