# type  value  stat. err
v4_L  3.2748658667e-03  3.8858345086e-04
v4(Psi2)  2.0366606809e-04  2.8087759699e-04
rho_422  6.2070740539e-02  8.5915478280e-02
chi_422  2.6522305138e-01  3.6304227968e-01
v5_L  nan  nan
v5(Psi23)  -3.9049109831e-05  1.9664466239e-04
rho_523  nan  nan
chi_523  -1.6018163031e-01  8.0645716930e-01
v6_L  8.5230423420e-06  1.3578777654e-06
v6(Psi2)  4.0372780099e-04  2.9938483861e-04
v6(Psi3)  2.6621968399e-04  3.5741343188e-04
rho_6222  2.4636519837e-01  1.9246357796e-01
rho_633  1.6245417109e-01  2.2172687033e-01
chi_6222  1.2933101954e+01  9.0050841167e+00
chi_633  1.1303507049e+00  1.5064290737e+00
