#correlator  value  value_err
4(24)  6.37731e-02  9.08731e-02
6(23)  5.18502e-02  2.21771e-01
6(26)  2.77986e-01  2.12338e-01
6(36)  1.49516e-01  1.72316e-01
(235)  2.67157e-02  7.60972e-02
(246)  -6.00184e-02  6.83295e-02
(234)  -2.39090e-01  1.36099e-01
