# type  value  stat. err
v4_L  2.6032632210e-03  3.5529729599e-04
v4(Psi2)  1.4351933576e-04  2.1199327102e-04
rho_422  5.5046960212e-02  8.1654081851e-02
chi_422  2.4516374617e-01  3.5981488526e-01
v5_L  nan  nan
v5(Psi23)  5.0001718598e-05  1.9053065705e-04
rho_523  nan  nan
chi_523  2.6555109147e-01  1.0114462175e+00
v6_L  6.6716910342e-06  9.7717383589e-07
v6(Psi2)  2.9902828696e-04  2.3301382584e-04
v6(Psi3)  2.9079650544e-04  3.0754216657e-04
rho_6222  2.2106400826e-01  1.8155555464e-01
rho_633  2.1497846151e-01  2.3409751030e-01
chi_6222  1.4468283339e+01  1.0637536100e+01
chi_633  1.6698794115e+00  1.7473704825e+00
