# type  value  stat. err
v4_L  4.6073530477e-03  4.7391490210e-04
v4(Psi2)  5.0751354364e-04  3.6151443177e-04
rho_422  1.0949069370e-01  7.8777141886e-02
chi_422  4.2955080723e-01  2.9633460334e-01
v5_L  nan  nan
v5(Psi23)  1.3259670208e-04  2.7668899905e-04
rho_523  nan  nan
chi_523  3.3182359144e-01  6.9153804437e-01
v6_L  1.4045288421e-05  2.2412214496e-06
v6(Psi2)  3.5347168506e-04  4.3778389507e-04
v6(Psi3)  -9.3509468073e-05  4.5834436758e-04
rho_6222  1.6986743439e-01  2.1486588737e-01
rho_633  -4.4937725153e-02  2.2056845574e-01
chi_6222  5.8322904228e+00  7.0426284172e+00
chi_633  -2.2777510224e-01  1.1159209112e+00
