# type  value  stat. err
v4_L  1.4691908982e-03  6.6848991320e-04
v4(Psi2)  2.4949810724e-03  2.6331722164e-04
rho_422  8.6169942405e-01  1.1790472076e-01
chi_422  6.4587037068e-01  5.2735666736e-02
v5_L  1.4346650562e-03  3.0498401731e-04
v5(Psi23)  -4.7514603045e-04  2.0191174594e-04
rho_523  -3.1439558165e-01  1.4595347466e-01
chi_523  -1.0006629678e+00  4.2100853854e-01
v6_L  5.9898442601e-06  7.5563955292e-07
v6(Psi2)  -2.0482752345e-04  2.1911344609e-04
v6(Psi3)  -4.0095122022e-04  1.9176192738e-04
rho_6222  -2.0151418762e-01  2.2705205560e-01
rho_633  -3.9446534362e-01  2.3466651909e-01
chi_6222  -7.0437274110e-01  7.4999491499e-01
chi_633  -3.3251084679e+00  1.4961156965e+00
