# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -1.0295031917e+00  9.3771468640e+01  7.4263347018e-01  5.3259789345e+01
SC_42  -1.0295891806e+00  9.3782082791e+01  7.4577638357e-01  5.3514470425e+01
