# type  value  stat. err
v4_L  3.3005282164e-03  7.3095946022e-04
v4(Psi2)  3.4853917914e-03  4.2383475778e-04
rho_422  7.2610056103e-01  1.0681361828e-01
chi_422  4.4136267455e-01  4.4120513818e-02
v5_L  3.2834708759e-03  3.4878368722e-04
v5(Psi23)  -9.7793221961e-04  3.7282973472e-04
rho_523  -2.8544362793e-01  1.1198015634e-01
chi_523  -9.5193931559e-01  3.5788726065e-01
v6_L  1.6162744466e-05  2.1221515919e-06
v6(Psi2)  -5.5197722208e-04  4.1062797494e-04
v6(Psi3)  -4.4690860440e-04  2.3872953059e-04
rho_6222  -2.1759605943e-01  1.6595081084e-01
rho_633  -1.7617674671e-01  9.8654479968e-02
chi_6222  -6.4610868135e-01  4.7577265366e-01
chi_633  -1.5135744916e+00  7.6004214356e-01
