# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  5.1600908208e-02  2.1082890955e-01  7.8624925236e-02  1.3724160416e+00
SC_42  5.1812083266e-02  2.1152461920e-01  7.8934097204e-02  1.3767262374e+00
