# type  value  stat. err
v4_L  1.0008716006e-02  4.2621890272e-03
v4(Psi2)  1.5187002065e-02  2.0411503937e-03
rho_422  8.3498091484e-01  1.3440681191e-01
chi_422  1.0288846098e+00  7.6541934420e-02
v5_L  5.4936774693e-03  1.2040353793e-03
v5(Psi23)  4.9052700613e-03  8.2652707317e-04
rho_523  6.6603094665e-01  1.2927751629e-01
chi_523  2.0805530895e+00  2.3831438606e-01
v6_L  2.3683204231e-05  3.7137859814e-06
v6(Psi2)  1.9327830748e-03  6.6932839265e-04
v6(Psi3)  1.8490997769e-04  4.1666210451e-04
rho_6222  3.8914854549e-01  1.4211577230e-01
rho_633  3.7229966364e-02  8.4002159901e-02
chi_6222  7.7481450749e-01  2.4553890322e-01
chi_633  2.7807559937e-01  6.2540466038e-01
