# type  value  stat. err
v4_L  2.7395443202e-03  4.0902739406e-04
v4(Psi2)  4.4224786634e-04  4.0745240270e-04
rho_422  1.5936796660e-01  1.4860235836e-01
chi_422  5.6816447258e-01  5.1151161824e-01
v5_L  6.7378773840e-04  6.3072621293e-04
v5(Psi23)  6.1743706802e-05  3.6079280995e-04
rho_523  9.1254388752e-02  5.3990386219e-01
chi_523  2.0308909493e-01  1.1862850516e+00
v6_L  6.6391542923e-06  1.0460927112e-06
v6(Psi2)  1.0695169452e-04  1.1089979586e-04
v6(Psi3)  -2.6829459230e-06  5.1291025655e-04
rho_6222  8.3090220879e-02  9.0127241714e-02
rho_633  -2.0843668756e-03  3.9847789040e-01
chi_6222  3.1880469647e+00  3.1779504035e+00
chi_633  -1.1714181232e-02  2.2394491596e+00
