# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -2.5754595466e-03  1.3633049106e-03  -2.5356651741e-03  1.3222331966e-03
SC_42  -2.5766027259e-03  1.3638825908e-03  -2.5367877620e-03  1.3227903569e-03
