# type  value  stat. err
v4_L  3.5499859392e-03  4.8830045280e-04
v4(Psi2)  6.1529237626e-04  5.0909770093e-04
rho_422  1.7077634406e-01  1.4307081486e-01
chi_422  6.1368740127e-01  4.9306771651e-01
v5_L  nan  nan
v5(Psi23)  1.4547609913e-04  4.1559644774e-04
rho_523  nan  nan
chi_523  3.5742922455e-01  1.0195239638e+00
v6_L  7.4965238995e-06  9.4747539146e-07
v6(Psi2)  5.3044586403e-05  1.4724822905e-04
v6(Psi3)  5.2645271710e-07  5.3939740634e-04
rho_6222  4.3962707287e-02  1.2289866086e-01
rho_633  4.3631760132e-04  4.4704602537e-01
chi_6222  1.0768075262e+00  2.9731515061e+00
chi_633  1.6571627790e-03  1.6979099217e+00
