# type  value  stat. err
v4_L  1.1828756202e-02  1.1337204179e-03
v4(Psi2)  3.0369001927e-03  1.3906500836e-03
rho_422  2.4867389344e-01  1.1583288901e-01
chi_422  9.7293737797e-01  4.3159375415e-01
v5_L  3.8054686130e-03  1.0612724132e-03
v5(Psi23)  2.7305751097e-03  8.8587769094e-04
rho_523  5.8298751698e-01  2.0774917554e-01
chi_523  2.0261515776e+00  5.8992243142e-01
v6_L  1.1798020235e-05  2.7286975239e-06
v6(Psi2)  5.4625021080e-04  7.7273965663e-04
v6(Psi3)  1.6334723948e-03  3.3122308656e-04
rho_6222  2.2941729885e-01  3.2771013583e-01
rho_633  6.8603511203e-01  1.9453335412e-01
chi_6222  2.4058152352e+00  3.3817029431e+00
chi_633  1.7234017471e+00  2.6391447107e-01
