# type  value  stat. err
v4_L  9.8923603422e-03  9.4788451891e-04
v4(Psi2)  2.6885617918e-03  1.2017495546e-03
rho_422  2.6226793671e-01  1.1927079972e-01
chi_422  1.1110044794e+00  4.7980525629e-01
v5_L  3.1760923198e-03  8.9390576462e-04
v5(Psi23)  2.3537454697e-03  7.2365846217e-04
rho_523  5.9540467455e-01  2.0248219336e-01
chi_523  2.3253632952e+00  6.3449053669e-01
v6_L  9.8327407566e-06  2.0791314321e-06
v6(Psi2)  4.3105461748e-04  6.3650096315e-04
v6(Psi3)  1.4355208023e-03  3.0776915527e-04
rho_6222  2.0582869093e-01  3.0656986596e-01
rho_633  6.8546155301e-01  1.9868422541e-01
chi_6222  2.7661070886e+00  4.0602503409e+00
chi_633  2.0512704442e+00  3.4355500273e-01
