# type  value  stat. err
v4_L  1.5855308455e-02  1.3332932429e-03
v4(Psi2)  7.8418247135e-03  1.6030532948e-03
rho_422  4.4332757391e-01  9.3771544009e-02
chi_422  5.5695661834e-01  1.0517695282e-01
v5_L  7.1874005218e-03  8.4185159603e-04
v5(Psi23)  6.3569218750e-03  6.0308391537e-04
rho_523  6.6250587184e-01  7.1309584843e-02
chi_523  1.6403639183e+00  9.9765435231e-02
v6_L  2.9721278681e-05  3.8013340205e-06
v6(Psi2)  -3.6029438988e-04  9.2843710224e-04
v6(Psi3)  1.7236033594e-03  4.0416155628e-04
rho_6222  -6.4094018094e-02  1.6524990333e-01
rho_633  3.0661777703e-01  7.6336144349e-02
chi_6222  -1.5258204090e-01  3.9271183403e-01
chi_633  9.2201406759e-01  1.9968275711e-01
