# type  value  stat. err
v4_L  3.8102104154e-03  3.3783274696e-04
v4(Psi2)  3.2843350507e-03  2.4124620742e-04
rho_422  6.5290209017e-01  5.4635992768e-02
chi_422  8.4472061572e-01  5.1897142984e-02
v5_L  1.5323889708e-04  1.7382921351e-03
v5(Psi23)  1.2042157081e-03  1.1526016011e-04
rho_523  9.9200048261e-01  1.8010892613e-01
chi_523  1.4710346343e+00  1.2305343514e-01
v6_L  4.2850139203e-06  3.0373818246e-07
v6(Psi2)  1.1512854204e-04  1.0204060583e-04
v6(Psi3)  -1.7711335358e-04  8.5218717454e-05
rho_6222  inf  inf
rho_633  -inf  inf
chi_6222  4.0288462611e-01  3.5612476766e-01
chi_633  -6.3609612825e-01  3.0224114594e-01
