# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  0.0000000000e+00  0.0000000000e+00  1.5739923488e-10  2.2627641894e-10
2  5.2910735760e-02  1.4126386216e-03  -7.8374575745e-06  8.3699423987e-07
3  0.0000000000e+00  0.0000000000e+00  1.8093686163e-09  4.8085779743e-09
