# type  value  stat. err
v4_L  6.8876454109e-03  5.6012845288e-04
v4(Psi2)  5.6419735458e-03  4.0893164328e-04
rho_422  6.3368355909e-01  5.2158148630e-02
chi_422  6.4890267998e-01  3.8417934442e-02
v5_L  1.5024930718e-03  4.8246634609e-04
v5(Psi23)  2.0438150957e-03  1.9272094916e-04
rho_523  8.0570973724e-01  1.0760304912e-01
chi_523  1.0192820095e+00  8.3621957966e-02
v6_L  1.1448298029e-05  8.0869627694e-07
v6(Psi2)  1.1719311306e-04  1.9554505457e-04
v6(Psi3)  -2.1893642043e-04  1.5349502550e-04
rho_6222  8.0826218265e-02  1.3576111813e-01
rho_633  -1.5099695231e-01  1.0979084641e-01
chi_6222  1.2204890911e-01  2.0347860347e-01
chi_633  -2.8877198340e-01  2.0125576751e-01
