# type  value  stat. err
v4_L  4.5745423435e-03  3.9534747894e-04
v4(Psi2)  3.9254752957e-03  2.8390589569e-04
rho_422  6.5121578875e-01  5.3571581024e-02
chi_422  7.5380973139e-01  4.5122446782e-02
v5_L  6.3961719341e-04  5.5661290676e-04
v5(Psi23)  1.4494608755e-03  1.3085407182e-04
rho_523  9.1488302949e-01  1.3740969350e-01
chi_523  1.2844179521e+00  9.9526811934e-02
v6_L  5.7886876547e-06  4.0498863254e-07
v6(Psi2)  1.4539332167e-04  1.2784047079e-04
v6(Psi3)  -2.4856328138e-04  1.0458705180e-04
rho_6222  2.7788336749e-01  3.1755131121e-01
rho_633  -4.7506722367e-01  4.0024265804e-01
chi_6222  3.2794048612e-01  2.8754039096e-01
chi_633  -6.3119948942e-01  2.6144293337e-01
