# type  value  stat. err
v4_L  3.1428349631e-03  6.6257548389e-03
v4(Psi2)  7.7578276699e-03  1.9631616356e-03
rho_422  9.2683201487e-01  3.0050436693e-01
chi_422  2.0410399034e+00  3.1838307199e-01
v5_L  1.6110533170e-03  6.6521234130e-04
v5(Psi23)  1.4834263800e-03  4.7893067028e-04
rho_523  6.7736741369e-01  2.4630721331e-01
chi_523  2.8672744859e+00  7.0543611106e-01
v6_L  1.2213862512e-05  2.2911585917e-06
v6(Psi2)  8.2274541598e-04  7.6620549721e-04
v6(Psi3)  6.0400486142e-04  3.5328730545e-04
rho_6222  4.2622560811e-01  4.0313546371e-01
rho_633  3.1290644027e-01  1.9018551212e-01
chi_6222  2.5049293570e+00  2.2524357423e+00
chi_633  3.3779774297e+00  1.7868109398e+00
