# type  value  stat. err
v4_L  9.3394487562e-03  1.3996378366e-03
v4(Psi2)  9.7300891171e-03  9.3036280128e-04
rho_422  7.2144054041e-01  7.8468711602e-02
chi_422  1.0725959906e+00  6.9332142676e-02
v5_L  2.7896431963e-03  9.2914001886e-04
v5(Psi23)  4.4452974746e-03  4.1325912968e-04
rho_523  8.4702640997e-01  9.6761530264e-02
chi_523  1.9109705249e+00  1.0221316251e-01
v6_L  9.1327361253e-06  1.3255096992e-06
v6(Psi2)  8.2812189032e-04  2.3046820276e-04
v6(Psi3)  8.8560862349e-04  2.5812854378e-04
rho_6222  3.8130802268e-01  1.1907949036e-01
rho_633  4.0777774026e-01  1.3215340182e-01
chi_6222  7.7294293478e-01  1.9670224706e-01
chi_633  9.4121134006e-01  2.5511489605e-01
