# type  value  stat. err
v4_L  1.1321772203e-02  1.6456422636e-03
v4(Psi2)  1.1476372695e-02  1.1244566695e-03
rho_422  7.1188549871e-01  7.8868599378e-02
chi_422  9.6330384680e-01  6.4891490974e-02
v5_L  3.3101948476e-03  1.0600383169e-03
v5(Psi23)  5.1602959040e-03  4.8723889664e-04
rho_523  8.4170769661e-01  9.6543556977e-02
chi_523  1.6378520016e+00  9.0733067565e-02
v6_L  1.2133909303e-05  1.7736627536e-06
v6(Psi2)  9.9084487824e-04  2.5105517801e-04
v6(Psi3)  1.0139409890e-03  3.1065683195e-04
rho_6222  3.6948405777e-01  1.0478396885e-01
rho_633  3.7809655090e-01  1.2545719949e-01
chi_6222  6.1368278454e-01  1.3890187080e-01
chi_633  7.7635227632e-01  2.2292115303e-01
