#correlator  value  value_err
4(24)  8.55792e-01  5.00629e-02
6(23)  -1.85083e-01  1.97823e-01
6(26)  4.01651e-01  9.47868e-02
6(36)  3.56343e-01  1.03167e-01
(235)  7.66055e-01  4.48168e-02
(246)  4.31750e-01  7.17701e-02
(234)  -2.22567e-01  1.15181e-01
