# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
2  8.5293653184e-01  3.1797357711e-02  3.9714559978e-01  4.6284238553e-02
3  5.0966470128e-01  3.0757196521e-01  7.6596782561e-01  2.6525128260e-01
