# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  0.0000000000e+00  0.0000000000e+00  1.5170368666e-09  2.1749848369e-09
2  7.4034193024e-02  3.8289233154e-03  -3.0042037761e-05  6.2148936391e-06
3  1.4766196875e-02  5.2842643689e-03  -4.7541690227e-08  6.8053504050e-08
