# type  value  stat. err
v4_L  1.2997667702e-03  5.3728657840e-04
v4(Psi2)  1.6742877864e-03  2.5683043910e-04
rho_422  7.8991366285e-01  1.5505636440e-01
chi_422  1.1347168375e+00  1.2661108263e-01
v5_L  1.2241295551e-03  3.0849994294e-04
v5(Psi23)  1.9240264966e-04  2.4606502064e-04
rho_523  1.5526889013e-01  2.0215615914e-01
chi_523  8.7614195737e-01  1.1102999800e+00
v6_L  6.3476686223e-06  6.0407729447e-07
v6(Psi2)  -1.3293923215e-04  2.1048872074e-04
v6(Psi3)  -2.2716130618e-04  2.1898237728e-04
rho_6222  -inf  inf
rho_633  -inf  inf
chi_6222  -1.8139179277e+00  2.8577866500e+00
chi_633  -3.3363687860e+00  3.1230327029e+00
