# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
2  8.4726193816e-01  4.7016279412e-02  4.0522225047e-01  6.9891563626e-02
3  7.4095612758e-01  9.2201360017e-02  5.3949479482e-01  1.0837525797e-01
