# type  value  stat. err
v4_L  3.6293351204e-03  6.0905628837e-04
v4(Psi2)  2.8694508331e-03  4.7182681941e-04
rho_422  6.2020153658e-01  1.1385529469e-01
chi_422  4.0725163637e-01  5.4813205980e-02
v5_L  4.3340452063e-03  4.9434874135e-04
v5(Psi23)  -2.3662285410e-03  4.7733836758e-04
rho_523  -4.7919607204e-01  1.0307744309e-01
chi_523  -1.9687591298e+00  3.7957108600e-01
v6_L  2.4392522487e-05  2.9106875337e-06
v6(Psi2)  -8.6564553199e-04  4.7013697312e-04
v6(Psi3)  -8.0272091439e-04  4.4373177925e-04
rho_6222  -2.3994346350e-01  1.3265112569e-01
rho_633  -2.2250173923e-01  1.2512489075e-01
chi_6222  -1.0936549715e+00  5.5864311010e-01
chi_633  -2.2046207801e+00  1.1961392550e+00
