# type  value  stat. err
v4_L  2.4166920309e-03  6.0267236128e-04
v4(Psi2)  2.4199618183e-03  3.7878638156e-04
rho_422  7.0758465428e-01  1.3021119894e-01
chi_422  5.2939409061e-01  6.7409639042e-02
v5_L  2.6383136812e-03  3.6030998786e-04
v5(Psi23)  -1.3560154404e-03  3.1318652530e-04
rho_523  -4.5712629700e-01  1.1444986614e-01
chi_523  -1.8303561613e+00  4.0877068738e-01
v6_L  1.2044781411e-05  1.3395829304e-06
v6(Psi2)  -3.6852788106e-04  3.0315490720e-04
v6(Psi3)  -4.1998280073e-04  3.3109119968e-04
rho_6222  -1.6745347900e-01  1.3958088315e-01
rho_633  -1.9083381398e-01  1.5261995804e-01
chi_6222  -8.9600680942e-01  7.2061614298e-01
chi_633  -1.9911963514e+00  1.5567657168e+00
