# type  value  stat. err
v4_L  4.9258375325e-03  3.3614347010e-04
v4(Psi2)  1.6326585757e-03  3.9880575748e-04
rho_422  3.1461660239e-01  7.8882016115e-02
chi_422  1.1545777289e+00  2.5932191829e-01
v5_L  9.1384179860e-04  3.3033666773e-04
v5(Psi23)  5.0577389934e-04  1.8950082072e-04
rho_523  4.8424053652e-01  2.2150247153e-01
chi_523  1.1217862156e+00  4.0854309042e-01
v6_L  4.7864792951e-06  4.5183855553e-07
v6(Psi2)  1.9466979635e-05  1.6688476600e-04
v6(Psi3)  1.0484267020e-04  1.2031874178e-04
rho_6222  5.4846355506e-02  4.8125505982e-01
rho_633  2.9538420801e-01  6.4845681774e-01
chi_6222  2.6930512618e-01  2.3081994050e+00
chi_633  4.1462948141e-01  4.7349320351e-01
