# type  value  stat. err
v4_L  5.5229840627e-03  1.0635173195e-03
v4(Psi2)  5.5511275661e-03  7.1848276568e-04
rho_422  7.0890151754e-01  1.0442162190e-01
chi_422  1.5240034994e+00  1.3851085544e-01
v5_L  2.1935029194e-03  1.0221207123e-03
v5(Psi23)  2.2167846479e-03  5.1211958338e-04
rho_523  7.1082966468e-01  2.1664276621e-01
chi_523  3.6913833212e+00  7.9112462786e-01
v6_L  8.1338334980e-06  1.8111857900e-06
v6(Psi2)  8.4363780121e-04  2.5835924670e-04
v6(Psi3)  5.6387234998e-04  4.4343494219e-04
rho_6222  3.6142239318e-01  1.1603692240e-01
rho_633  2.4156823448e-01  1.9139347693e-01
chi_6222  3.0464907151e+00  8.5131567299e-01
chi_633  2.1842733633e+00  1.6866819068e+00
