# type  value  stat. err
v4_L  1.0717004362e-02  1.9897302103e-03
v4(Psi2)  1.0634740406e-02  1.3844176677e-03
rho_422  7.0437721385e-01  1.0334380186e-01
chi_422  1.1151556074e+00  1.0315552079e-01
v5_L  4.3198494611e-03  1.9662761884e-03
v5(Psi23)  4.5136932384e-03  1.0388639584e-03
rho_523  7.2244964984e-01  2.1173222096e-01
chi_523  2.5286123957e+00  5.3295652182e-01
v6_L  2.5012678252e-05  7.1997899693e-06
v6(Psi2)  1.5833139797e-03  5.4644540878e-04
v6(Psi3)  1.2487198411e-03  8.5965219398e-04
rho_6222  3.3308018131e-01  1.1797435125e-01
rho_633  2.6269194641e-01  1.8204956903e-01
chi_6222  1.4286728735e+00  4.6034450699e-01
chi_633  1.4034783191e+00  9.3929129193e-01
