# type  value  stat. err
v4_L  6.7363459495e-03  1.2926913373e-03
v4(Psi2)  6.8286118910e-03  8.7246768519e-04
rho_422  7.1189990267e-01  1.0338216072e-01
chi_422  1.3313612243e+00  1.1805277451e-01
v5_L  2.6879328556e-03  1.1766814578e-03
v5(Psi23)  2.6403166795e-03  6.1239321086e-04
rho_523  7.0075970359e-01  2.1076502357e-01
chi_523  3.0314092260e+00  6.5200248109e-01
v6_L  1.1770666586e-05  2.6129761864e-06
v6(Psi2)  9.9970895474e-04  3.3728498869e-04
v6(Psi3)  7.0667560516e-04  5.2063068053e-04
rho_6222  3.4307459184e-01  1.1965987394e-01
rho_633  2.4251302707e-01  1.7995040835e-01
chi_6222  2.1857494683e+00  6.8508227492e-01
chi_633  1.8692418361e+00  1.3498343233e+00
