# type  value  stat. err
v4_L  1.5588232328e-02  1.2701901272e-03
v4(Psi2)  2.4008780307e-03  2.1920054045e-03
rho_422  1.5222369712e-01  1.3947045200e-01
chi_422  9.9403323068e-01  8.9674897396e-01
v5_L  6.1985189151e-03  7.5972733433e-04
v5(Psi23)  1.9065495181e-03  7.1446357080e-04
rho_523  2.9398906418e-01  1.1458793311e-01
chi_523  1.4622034699e+00  5.1768179740e-01
v6_L  1.6265571611e-05  3.6912502252e-06
v6(Psi2)  3.7260557209e-04  4.9425138510e-04
v6(Psi3)  1.7523624434e-03  6.3029502148e-04
rho_6222  1.3518948949e-01  1.8218996319e-01
rho_633  6.3579560232e-01  2.7423178535e-01
chi_6222  2.3265619242e+00  3.0515891148e+00
chi_633  1.4677107052e+00  4.5116290635e-01
