# type  value  stat. err
v4_L  1.0828216748e-02  9.3151395406e-04
v4(Psi2)  2.0251435512e-03  1.4861228872e-03
rho_422  1.8383714506e-01  1.3569232939e-01
chi_422  1.3371025556e+00  9.6248239380e-01
v5_L  4.0623360812e-03  6.5259376021e-04
v5(Psi23)  1.4919652672e-03  5.3915906611e-04
rho_523  3.4475201390e-01  1.3297959044e-01
chi_523  1.9895011571e+00  6.7583226814e-01
v6_L  9.5082318987e-06  1.8538408107e-06
v6(Psi2)  3.7338658721e-04  2.8228479990e-04
v6(Psi3)  1.0858503001e-03  4.9216284303e-04
rho_6222  2.3793092368e-01  1.9851149773e-01
rho_633  6.9192995609e-01  3.9747075227e-01
chi_6222  4.6712514732e+00  3.4032070138e+00
chi_633  1.7060576482e+00  7.0721097519e-01
