# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  5.8981075488e-03  5.3499967343e-04  -1.2101821689e-09  4.3908800225e-10
2  1.9602044015e-02  4.6836943023e-03  -1.4764047718e-07  1.4110831732e-07
3  0.0000000000e+00  0.0000000000e+00  9.0201900275e-09  3.9771027430e-08
