# type  value  stat. err
v4_L  9.0240730819e-03  7.7699478152e-04
v4(Psi2)  1.7535375316e-03  1.2226647236e-03
rho_422  1.9074981563e-01  1.3385233665e-01
chi_422  1.4909391969e+00  1.0180519185e+00
v5_L  3.2139465395e-03  5.5835128667e-04
v5(Psi23)  1.2379998943e-03  4.6321684788e-04
rho_523  3.5945115926e-01  1.4402676676e-01
chi_523  2.1764509508e+00  7.6607659324e-01
v6_L  8.2055341175e-06  1.2009051241e-06
v6(Psi2)  2.0260239079e-04  2.3609315811e-04
v6(Psi3)  8.1305534952e-04  4.0211127125e-04
rho_6222  1.6091636786e-01  1.9487751627e-01
rho_633  6.4576687966e-01  3.8384041477e-01
chi_6222  3.7209702539e+00  4.2724607464e+00
chi_633  1.7121893159e+00  7.7956405212e-01
